 seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
43,Mina,Stevenson,39,Totub Drive,Olokole,AL,02706,$4870.06,WHITE,12/20/2015
44,Margaret,Owen,18,Wetci Square,Ekoasepe,OK,45934,$2842.38,WHITE,08/25/2032
45,Harold,Beck,51,Ugrem Junction,Ifwowpe,NE,00438,$3298.42,BLUE,07/04/1982
46,Frederick,Fox,62,Iccop Square,Wummikuk,OR,04357,$9808.11,YELLOW,11/16/2020
47,Ada,Hughes,41,Sadcuc Extension,Idefoja,FL,23080,$9207.60,YELLOW,05/11/1938
48,Maggie,McDonald,31,Nicwoh View,Raepena,TN,18024,$9818.67,GREEN,05/25/2041
49,Floyd,Coleman,44,Niwvup Drive,Manjizsas,HI,13591,$6735.13,BLUE,02/28/1917
50,Maude,Alvarez,64,Usiziz Avenue,Jojizvez,TN,80173,$7899.92,WHITE,05/18/1944
51,Warren,Campbell,22,Fudcoh Pike,Tivtetwod,OH,38751,$4321.59,YELLOW,08/20/1969
52,Harry,Paul,38,Alve Ridge,Lileem,CA,34800,$1515.42,RED,09/19/1963
53,Roger,McBride,28,Kacov Turnpike,Izhaono,GA,99099,$3596.89,YELLOW,07/12/1972
54,Keith,Becker,60,Avamil Lane,Resatu,AZ,48330,$5461.82,GREEN,11/08/1939
55,Esther,Day,21,Remti Loop,Zafaso,MD,84977,$7419.96,BLUE,01/24/2055
56,Bobby,Schneider,33,Piji Street,Pehvibbo,OH,13850,$8227.19,GREEN,09/30/1912
57,Jeremiah,Parker,37,Kudloz Mill,Mufsepe,WY,78008,$8442.58,RED,11/26/1932
58,Lela,Daniel,38,Emagat Road,Regsevna,FL,67951,$8559.65,GREEN,04/27/1978
59,Marion,Spencer,53,Nihiz Key,Ovovsob,CA,44376,$4935.02,WHITE,07/05/1980
60,Kyle,Hunter,18,Avoiv Circle,Vuwovpo,HI,43729,$8545.40,YELLOW,03/06/2023
61,Ollie,Hicks,27,Buebi Center,Lokcizsen,NJ,38327,$7688.19,BLUE,02/26/2015
62,Nettie,Rowe,23,Norda Mill,Divhata,CO,92639,$3195.14,BLUE,10/19/1998
63,Lina,Gardner,53,Epfo Terrace,Lavmefema,CT,19623,$2604.58,RED,10/20/1982
64,Hannah,Parks,33,Huwo Boulevard,Jirmodfim,SD,35960,$7153.17,BLUE,11/06/2065
65,Christopher,Watts,42,Leka Pass,Evwaavo,IN,71608,$6938.06,BLUE,12/17/1902
66,Hester,Spencer,24,Higo Road,Canesewev,NY,86413,$2144.48,RED,03/22/1934
67,Ollie,Keller,39,Vavlam Mill,Cehfozufe,WI,55040,$2911.27,GREEN,11/22/2021
68,Bess,Collins,28,Weop Loop,Editecu,MN,79757,$2447.46,WHITE,11/14/2011
69,Phoebe,Craig,20,Onpiw Road,Gizaruw,NY,03616,$1020.38,GREEN,05/22/2057
70,Caleb,Simmons,30,Muzu Pike,Ciasaje,NJ,99133,$2369.24,BLUE,09/29/1912
71,Zachary,Morton,36,Mude Glen,Mikoniboj,FL,86629,$7095.72,WHITE,11/12/2055
72,Rhoda,Schwartz,32,Aphi Center,Uvsoiza,SD,33378,$9823.09,YELLOW,07/03/1995
73,Harvey,Doyle,24,Rapu Extension,Vefema,AK,90272,$3345.53,GREEN,11/28/2063
74,Antonio,Fox,33,Nadit Parkway,Ujidupzas,KS,11439,$4727.96,YELLOW,09/10/2010
75,Ethel,Moran,35,Kudja Manor,Ivsuewo,CO,23098,$2062.19,RED,10/24/2063
76,Ella,Moreno,50,Veknav Extension,Narofeb,SC,41963,$644.86,YELLOW,01/18/1928
77,Ivan,Roberson,45,Galjaj Highway,Norinpif,KY,05675,$8444.32,GREEN,07/30/1987
78,Kathryn,Neal,39,Muzkek Manor,Sisgubu,TX,37437,$314.53,GREEN,11/26/2025
79,Lulu,Snyder,49,Opma Turnpike,Topuvepu,OR,59864,$3483.96,RED,12/23/1911
80,Dylan,Casey,60,Refo Mill,Evsila,LA,77577,$712.73,YELLOW,01/12/1996
81,Ollie,Glover,32,Vekuf Terrace,Nuznenuwu,CO,74824,$526.09,GREEN,05/13/1938
82,Glenn,King,25,Ranfiz Court,Vefiffi,LA,76854,$909.76,WHITE,07/03/1956
83,Essie,McDaniel,55,Muhwis Parkway,Lehaswa,DC,54744,$7686.59,RED,12/26/2023
84,Clara,Ball,23,Wodjew Center,Batfiwel,NH,62368,$531.57,WHITE,11/03/1966
85,Lucille,Gill,33,Habur Pike,Refjadwij,FL,99580,$3623.56,WHITE,01/06/1913
86,Claudia,Quinn,20,Vawa Junction,Abekjoj,MD,32916,$3605.17,BLUE,12/06/1931
87,Jeffrey,Ortega,47,Woci Mill,Suzkudun,MN,13526,$471.12,YELLOW,08/27/1908
88,Anne,McCormick,43,Bugduk Road,Azihefiv,VT,19108,$4404.41,YELLOW,01/26/1939
89,Benjamin,Porter,59,Fefha Parkway,Vikjeare,OK,25007,$7823.34,BLUE,02/04/2061
90,Howard,Sanchez,35,Debom Mill,Kiasma,OH,76702,$7805.63,WHITE,08/31/2022
91,Harold,Moody,40,Vobor Ridge,Janteava,GA,38867,$4300.27,YELLOW,07/01/1956
92,Sue,Edwards,53,Iziuwi Pike,Temcawnos,NC,88663,$164.53,WHITE,02/08/2069
93,Martin,Hodges,35,Umefat Trail,Cidippa,FL,07966,$4657.34,BLUE,09/01/2043
94,Lucille,Olson,23,Gagsa Court,Molotwa,MT,85170,$604.52,WHITE,03/06/2026
95,Helen,Garner,27,Hethiz Loop,Ognejoj,SD,94435,$4996.64,YELLOW,08/05/1977
96,Isabelle,Cohen,61,Rial Place,Lekzenbuw,SD,14727,$6121.13,WHITE,07/30/1967
97,Cynthia,Stokes,48,Nuswo Pass,Somivze,OK,10123,$4919.77,YELLOW,02/26/2054
98,Walter,Mitchell,30,Tujamu Highway,Cuwazofu,NE,49405,$8884.26,WHITE,10/11/1919
99,Louise,Lyons,33,Asemab Park,Senurek,TN,73538,$9356.65,GREEN,08/12/2018
100,Jeff,Watts,47,Lariz View,Bubovko,WV,18757,$2893.07,BLUE,10/15/1951
101,Lois,Vasquez,47,Doeme Park,Giebur,PA,64581,$281.98,WHITE,10/13/1993
102,Rosa,Gray,26,Zala Manor,Wikukep,MN,95161,$6004.52,BLUE,10/21/1969
103,Bettie,Mendoza,29,Vofjed Square,Fotkaro,MN,49103,$5407.37,YELLOW,12/20/1990
104,Mary,Hernandez,48,Guwsa Avenue,Hususja,NM,35241,$4183.10,BLUE,03/04/1902
105,Gene,Atkins,22,Cobac Boulevard,Udteris,NY,45097,$602.52,WHITE,08/09/1977
106,Charles,Hubbard,23,Wajak Circle,Tulati,NM,21064,$5820.90,GREEN,10/04/1994
107,Tillie,Valdez,55,Abisuf Court,Ulrarzej,AR,71404,$7417.21,RED,02/04/1993
108,John,Patterson,21,Zazac Street,Cehimmuw,TX,51530,$6934.34,WHITE,12/09/1904
109,Caleb,Harper,40,Cerac Road,Juhufupum,DC,05419,$4638.06,BLUE,01/24/1981
110,Andrew,Sharp,36,Ulaibu Plaza,Tanuvver,RI,35413,$1527.85,GREEN,06/16/1953
111,Vernon,Kennedy,27,Lodu Turnpike,Hazebuf,WV,60314,$744.89,WHITE,06/04/2014
112,Willie,Frazier,59,Tika Circle,Egavotza,DC,23388,$7028.32,RED,02/23/2059
113,Barbara,Clark,52,Emoozi River,Pialre,VT,81242,$9000.79,RED,12/02/2008
114,Rosa,Rios,18,Kocwa Pass,Ejnifa,WV,86688,$6212.27,WHITE,10/29/1968
115,Maud,Vaughn,41,Vapi Heights,Egaleloc,TX,66661,$4055.21,BLUE,05/06/1967
116,Cory,Porter,59,Anaeku View,Kowceoj,AK,51157,$2729.88,RED,02/16/1977
117,Loretta,Jensen,51,Muvo Court,Acenodbik,NE,42494,$1691.64,WHITE,12/28/1962
118,Maurice,Pope,52,Ciras Path,Barinu,MD,29548,$4403.05,RED,10/31/1914
119,Allie,Ford,39,Lafu Junction,Fulufuure,UT,20712,$9248.47,GREEN,04/05/1945
120,Clayton,Summers,63,Bouf Lane,Jilowoz,NM,06435,$5817.02,YELLOW,11/17/1984
121,Lee,Fleming,20,Fire Court,Logocbo,DE,95582,$3675.68,GREEN,09/17/1935
122,Beulah,Holland,34,Diswe Pass,Zeverem,IN,11296,$4718.05,RED,12/07/2029
123,Stanley,Moore,55,Fusjaw Highway,Bigsacwu,WI,92301,$3230.99,GREEN,06/05/1931
124,Benjamin,Bowman,50,Hoviw Ridge,Hubirro,PA,82072,$3196.23,GREEN,05/29/1925
125,Estella,McKinney,48,Jedin Extension,Bahnarit,NH,14018,$2623.99,YELLOW,04/21/2047
126,Lettie,Alexander,21,Setfe Junction,Tojcibta,MD,96916,$6492.16,RED,11/26/1901
127,Minerva,West,47,Muuwa Street,Diruwbi,IA,44735,$297.34,WHITE,05/02/1909
128,Francis,Alvarado,32,Owavam Path,Duopila,MS,21084,$9463.90,RED,07/24/1930
129,Keith,Barton,34,Ravag Grove,Vuvamwul,NY,37590,$2531.96,BLUE,02/07/1960
130,Flora,Smith,58,Adutaf Pike,Ubperu,AL,81959,$5131.23,WHITE,04/22/2031
131,Terry,Gardner,36,Baga Road,Paowopag,MN,23333,$5046.98,GREEN,05/23/2045
132,Leon,Tucker,23,Ralguv Mill,Sipapuwe,AL,91985,$3887.78,YELLOW,11/02/2022
133,Seth,Bryant,22,Bonin Pike,Mojacfa,GA,04098,$2825.19,BLUE,06/01/1918
134,Christine,Kim,27,Difak Loop,Kejeglu,CO,58919,$4373.93,BLUE,12/06/1977
135,Danny,Adams,59,Mevzid Heights,Ukoepcac,SD,00537,$5794.32,YELLOW,02/21/2002
136,Louisa,King,34,Iwid Junction,Wuasoda,KS,97848,$644.46,YELLOW,08/26/1916
137,Olga,Becker,63,Mime Mill,Uwanipo,TN,86400,$5213.74,YELLOW,08/14/1914
138,Terry,Delgado,40,Gage Heights,Fadethid,VA,03587,$5872.97,YELLOW,08/19/2003
139,Jesus,Griffin,29,Ehuaku River,Kefejdi,DE,73619,$6839.73,BLUE,07/17/1960
140,Violet,Moreno,35,Ikoir Circle,Sonolor,IA,30898,$3341.58,BLUE,11/05/1991
141,Hester,Rhodes,56,Keri Square,Simfimze,KY,99589,$6443.35,BLUE,03/09/1994
142,Bernard,King,39,Ocouja Highway,Zapoczum,SD,41935,$4932.86,RED,07/20/1910
143,Alan,Tate,41,Libfap Mill,Nihfiop,SC,66173,$4363.89,YELLOW,09/12/1949
144,Matthew,Francis,19,Puhkus Avenue,Hahtefit,WV,80226,$3488.50,GREEN,10/15/2021
145,Ernest,Cole,42,Tubib Loop,Tozmakmuz,ME,97522,$2394.79,YELLOW,10/12/1959
146,Steve,Evans,30,Disfo View,Wukicvud,IN,43792,$663.68,WHITE,02/09/2049
147,Genevieve,Stewart,41,Goze Terrace,Cawubtow,ME,36798,$7253.15,YELLOW,06/09/2017
148,Emilie,Mullins,19,Uruku Trail,Zezwuwkur,NH,71970,$1060.92,WHITE,02/09/1990
149,Leonard,Stewart,33,Sevu Point,Olaladov,MA,04417,$9177.81,RED,11/10/2022
150,Mike,Lee,37,Moab Highway,Pikofter,NE,69871,$6996.79,YELLOW,12/04/2014
151,Clara,Mason,42,Gisis Point,Rijsenpiz,NC,69805,$8643.35,WHITE,10/31/2060
152,Sally,Cruz,23,Buko Street,Arapide,NJ,11951,$7823.48,YELLOW,08/30/2044
153,Jeff,Woods,22,Mawu Way,Esaburu,MS,23184,$9683.81,GREEN,05/08/2042
154,Myra,Meyer,51,Azohu Extension,Vaemulo,AR,69796,$961.96,YELLOW,03/26/1901
155,Isabelle,Larson,37,Tani Parkway,Lodnofjet,MT,08869,$7644.97,BLUE,01/21/1919
156,Jack,Wong,53,Judve Avenue,Inaroka,WY,57083,$6213.20,YELLOW,02/22/1924
157,Eugenia,Thornton,49,Kowsab Center,Kigutale,WV,93031,$5513.23,YELLOW,09/11/2003
158,Callie,Roberts,24,Wipe Path,Etobegu,UT,16587,$5811.12,RED,02/08/1902
159,Virginia,Yates,31,Ihhi Glen,Bejcovwa,SC,06873,$1645.22,RED,10/06/1976
160,Bernice,Martin,22,Hivem Avenue,Loelbim,IA,51221,$623.75,RED,06/08/2050
161,Johanna,Rhodes,43,Wihto Loop,Ozpito,TN,22812,$7720.40,WHITE,07/24/1983
162,Esther,Perez,60,Gupvu Turnpike,Ovgitro,MS,02467,$3512.72,BLUE,06/29/1951
163,Samuel,Graham,61,Pirvu Extension,Wolradim,KS,88087,$215.48,WHITE,12/12/1933
164,Hester,Morgan,46,Balva River,Bosarja,TX,55942,$7787.15,GREEN,02/22/1985
165,Ivan,Walker,52,Gihwus Court,Tojecga,IL,37213,$7411.08,GREEN,03/21/2019
166,Lucas,Robbins,62,Mutod Trail,Denemamu,AL,86128,$7983.56,BLUE,02/23/1986
167,Jane,Ramos,62,Foupi Road,Pikuvu,LA,30833,$4984.71,WHITE,07/18/1970
168,Kyle,Martinez,36,Souhi Road,Tantewap,NH,21583,$277.35,GREEN,11/28/1926
169,Lee,Tran,32,Sakham Plaza,Cinegag,TX,03802,$382.39,GREEN,02/22/1914
170,Noah,Harrington,49,Femov Ridge,Gukojaj,VT,33481,$3580.73,WHITE,11/03/1909
171,Connor,Collins,46,Egade Park,Sodikufu,NM,22596,$4205.07,BLUE,12/12/2002
172,Beulah,Guzman,42,Urudej Street,Dubawukun,CA,42277,$8036.74,WHITE,09/12/1909
173,Rosie,Graves,49,Halo Key,Zouzet,DC,89197,$4292.62,BLUE,08/14/1942
174,Joel,Lloyd,46,Piva River,Rupiflek,MA,75812,$8253.84,YELLOW,11/19/1902
175,Chase,Haynes,54,Mocre Path,Neheoze,PA,40344,$9794.79,YELLOW,02/23/2046
176,Rose,Davidson,36,Lejil Extension,Faragur,MN,91777,$7268.95,WHITE,05/01/1940
177,Catherine,Osborne,62,Dapu Boulevard,Tepuric,CT,86910,$1224.36,YELLOW,11/25/2034
178,Owen,Ball,28,Behik River,Ezolave,NE,03448,$4586.43,GREEN,08/31/2063
179,Hunter,Lamb,28,Pifnor Junction,Wogeode,ID,73261,$446.68,RED,09/03/2039
180,Sam,Harrington,38,Hepjed Plaza,Konmimo,IN,85587,$7338.00,BLUE,04/30/2022
181,Mabelle,Ross,54,Luca Highway,Kajjibusi,MS,72467,$1890.18,YELLOW,05/07/2018
182,Lelia,Obrien,39,Sajaf Lane,Wajheefi,AL,40391,$8501.04,WHITE,08/02/2044
183,Gabriel,Reed,62,Zugo Key,Ehosamra,UT,07333,$4246.76,RED,09/10/1955
184,Jimmy,Nash,22,Wuwol Mill,Upipinjuv,RI,29055,$2493.16,BLUE,07/24/2008
185,Sean,Evans,40,Esadel Mill,Vasroif,AL,45640,$9811.00,BLUE,03/10/1948
186,Barry,Newman,37,Rotig Pass,Pefakbim,NV,80928,$265.29,WHITE,03/19/2058
187,Delia,Clark,49,Lejhu Key,Jejmuwa,NV,13964,$9196.97,RED,07/04/1915
188,Earl,Ballard,63,Athir Boulevard,Ibzogar,ID,59222,$4729.20,RED,08/27/1907
189,Katherine,Abbott,24,Diuc Center,Vetojun,UT,78616,$8791.65,YELLOW,09/17/2039
190,Joel,Sims,54,Nirma Highway,Mesace,PA,47439,$1110.20,WHITE,06/08/1936
191,Matilda,Sutton,37,Petgu Center,Gubjutin,MS,38493,$7694.00,YELLOW,07/01/2027
192,Myrtle,Love,42,Fezdov Highway,Ennemtaw,HI,59809,$3898.40,WHITE,04/11/2000
193,Matthew,Farmer,38,Rebek Manor,Waupife,AR,27352,$8026.83,GREEN,12/29/2032
194,Lee,Reese,35,Hocap Point,Sojoha,GA,15723,$8190.30,GREEN,01/29/1906
195,Lora,Wood,57,Gudit Pass,Loovwap,MO,47730,$722.01,YELLOW,12/29/2058
196,Gordon,Long,40,Suwvi Plaza,Lameghu,NE,30148,$6266.37,RED,03/16/1956
197,Gary,Stone,24,Tezzem Plaza,Milmeapu,AK,86988,$3406.21,GREEN,02/27/2065
198,Jeremy,Fletcher,42,Bobo Park,Wimamiba,WI,27527,$6128.89,BLUE,08/13/1963
199,Lewis,Simon,27,Falec Court,Ovisibo,AK,58508,$7363.67,GREEN,05/06/1997
200,Nora,Abbott,38,Womed Square,Vahittu,OR,88921,$3029.41,BLUE,08/13/2026
201,Barry,Peterson,44,Welhuc Square,Ejokingo,KS,74856,$4797.22,WHITE,05/10/2055
202,Olivia,Hammond,56,Kuzjo Highway,Wejocju,WY,50433,$3904.60,YELLOW,11/19/2065
203,Allen,Cobb,32,Pefjo Key,Azojolev,UT,03706,$863.82,RED,09/22/1981
204,Edith,Watts,35,Gazeve Trail,Lubsilha,MD,81323,$8207.28,GREEN,08/29/2062
205,Tyler,Leonard,48,Pega Park,Sufmimpo,NV,34337,$3215.94,RED,06/28/2008
206,Linnie,Sims,59,Nebvi Turnpike,Utuvetun,AL,03880,$7885.93,WHITE,06/14/2000
207,Lottie,Fernandez,21,Mogoc Lane,Toazirov,OR,61407,$3172.71,WHITE,04/13/1981
208,Harriett,Tran,59,Madjac Grove,Ketanto,ID,72302,$6324.18,BLUE,01/26/2050
209,Ellen,Fernandez,31,Uruz Circle,Waslogim,CT,01180,$7023.07,GREEN,05/20/2012
210,Effie,Davidson,32,Tadazi Circle,Hihvektuc,HI,80412,$3931.34,WHITE,01/31/2070
211,Marc,Hammond,20,Vuaba Turnpike,Jiwopca,TN,68830,$8557.99,RED,06/18/1962
212,Benjamin,Lloyd,18,Cokcus Manor,Pajiec,IN,52405,$9419.55,WHITE,10/19/2006
213,Milton,Miles,28,Pifdo Lane,Lijetmo,ME,22266,$5405.36,RED,08/31/1905
214,Evan,Lopez,20,Behuv Plaza,Finigousi,RI,17440,$2772.29,BLUE,10/02/1990
215,Hettie,Newton,25,Awto Square,Ujeajuuv,AZ,12900,$2844.56,RED,04/07/1908
216,Bruce,Edwards,45,Feno Path,Kovgeit,MI,59905,$1509.64,GREEN,05/16/1901
217,Lulu,Reynolds,39,Dizmak Pass,Molfouc,VT,03008,$3356.76,YELLOW,03/14/1943
218,Caroline,Hughes,60,Puvdo River,Owuetuzo,MT,53129,$4936.17,RED,04/30/1975
219,Virginia,Zimmerman,41,Neprig Street,Jebmane,ID,40551,$9769.66,WHITE,01/15/1965
220,Roger,Quinn,52,Dodej Glen,Aklopowu,DC,97395,$8487.96,GREEN,03/25/2067
221,Donald,Hawkins,62,Jepraw Trail,Ebzisa,CT,56905,$1466.13,YELLOW,04/20/1985
222,Phillip,Phillips,56,Pafu Grove,Hokcasac,ME,29119,$5918.13,WHITE,05/09/1996
223,Carl,Parsons,28,Lois Road,Zecosli,VT,06322,$726.96,YELLOW,01/20/2030
224,Chris,Young,24,Cole Terrace,Vahhibvo,WI,52666,$8966.06,RED,08/31/1979
225,Bertha,Cohen,41,Alkic Plaza,Fazonoci,KY,91356,$3185.74,RED,06/19/1980
226,Ernest,Lowe,59,Uttup Park,Borippig,VA,12216,$3980.64,RED,03/16/2025
227,Victor,Santiago,22,Berzo Glen,Civarof,MD,56016,$1357.46,RED,11/03/1972
228,Stephen,Welch,29,Elidul Plaza,Kekfunci,OH,19770,$6926.51,YELLOW,07/27/2040
229,Mario,Tucker,39,Opiti Heights,Egcupjuv,KS,69563,$4080.52,GREEN,06/09/2029
230,Zachary,Jimenez,30,Mooh View,Warnodvud,UT,91970,$6672.77,WHITE,02/22/1921
231,Rena,Coleman,62,Totet Way,Vijene,KS,54933,$2595.54,RED,12/22/1974
232,Lottie,Shaw,55,Guzli Lane,Zazevet,LA,55501,$1410.26,YELLOW,03/09/1953
233,Catherine,Gutierrez,41,Hilre Key,Nironhu,IN,33675,$9415.69,BLUE,07/29/1956
234,Howard,Pena,62,Dateni Grove,Majrota,IA,58319,$2644.86,YELLOW,04/20/1907
235,Rena,Hansen,57,Duhcol Grove,Jibactoz,WY,77922,$4795.51,WHITE,10/05/1986
236,Nettie,Patton,56,Elafa Mill,Givolaeb,CA,31397,$5508.47,RED,11/15/1907
237,Bryan,Pratt,26,Jeowo Center,Tinavi,MO,19826,$7942.20,RED,11/09/2004
238,Luella,Paul,31,Iloizu View,Ovutiho,NV,51010,$2634.77,RED,12/04/2028
239,Jim,Houston,58,Dehmi River,Bedajbi,ID,13192,$4726.85,GREEN,10/21/2059
240,Jesse,Jordan,38,Rorum Mill,Jondidcu,AL,76738,$5305.89,RED,08/10/1936
241,Catherine,Lawrence,42,Judpa Glen,Sagesooti,CA,02523,$1811.35,GREEN,09/23/1943
242,Eula,Cortez,46,Koge Heights,Viocpir,NM,87383,$4373.89,GREEN,03/21/2058
243,Clyde,Lopez,24,Gucade Loop,Itahoruz,LA,84916,$5766.54,RED,01/15/2049
244,Chase,Hart,26,Pavpu Extension,Gasinmup,MD,09985,$5491.67,WHITE,09/25/1971
245,Marian,Barrett,28,Ercu Heights,Kuavupa,MD,04564,$1673.82,WHITE,10/24/1912
246,Genevieve,Ray,58,Zuwju River,Geroawu,DE,80491,$423.28,GREEN,09/21/1929
247,Brandon,Barrett,43,Toove Grove,Pikirkip,AR,29348,$7701.09,YELLOW,03/24/1981
248,Patrick,Sullivan,53,Bastus Path,Bozjuvaji,WV,62573,$7595.11,GREEN,09/14/2052
249,Barbara,Bridges,41,Ojaob Extension,Daboheh,OR,80557,$8042.03,BLUE,12/14/2054
250,Grace,Wright,22,Hemkab Road,Iwrutjuh,IL,60972,$7467.14,BLUE,12/19/2004
251,Blanche,Griffith,22,Ehome Manor,Pucdapu,CT,72084,$3770.86,GREEN,05/16/1930
252,Dominic,Stanley,53,Gosoh Ridge,Alkalmim,MS,13584,$2318.08,WHITE,02/26/2050
253,Virgie,Atkins,25,Erovij Road,Bohanijo,CA,01207,$6895.45,WHITE,10/28/1915
254,Caleb,Johnston,51,Runo Highway,Foilhob,NM,40159,$9789.21,YELLOW,12/27/2022
255,Ada,Garner,46,Tulmu Extension,Zuewmu,CT,94924,$1726.36,YELLOW,08/29/2016
256,Larry,Ball,26,Reme Junction,Kazjivbuk,MD,62707,$5106.83,YELLOW,08/08/2066
257,Lillie,Ford,31,Comev Path,Dolooma,GA,62882,$2084.41,RED,01/23/2048
258,Tillie,Sanchez,38,Ahahe Boulevard,Dohotu,KS,75739,$8660.71,GREEN,04/23/1936
259,Steven,Hayes,58,Polgu Extension,Ampina,RI,40974,$7834.18,GREEN,12/04/1932
260,Minnie,Hunter,62,Utge Way,Ehtugalu,ID,00921,$5434.49,WHITE,06/03/2066
261,Wayne,McGuire,53,Opuli Turnpike,Nipwunad,GA,22570,$3116.13,WHITE,09/24/1907
262,Andre,Stewart,42,Itgi Circle,Paudafa,WA,07700,$1687.72,WHITE,04/08/1910
263,Jay,Fowler,23,Zile Path,Iglafpu,DE,64137,$9582.80,RED,06/21/2019
264,Leroy,Padilla,19,Pivoh Plaza,Polubge,ME,97892,$6672.01,RED,10/13/2001
265,Alma,Barton,20,Kotip Boulevard,Viveskuz,ND,34152,$3244.70,WHITE,10/13/1951
266,Blanche,French,45,Hulit Circle,Boosiwa,MS,21360,$7555.84,WHITE,01/23/1964
267,Willie,Austin,63,Tufze Drive,Ufjeceb,SD,12168,$3546.51,RED,05/31/1995
268,Rosetta,Wallace,58,Uduri Way,Bikakok,CA,62692,$6141.26,WHITE,09/02/2061
269,Louise,Barnett,42,Lameh Highway,Uhtafabo,HI,11345,$2096.10,BLUE,09/09/2019
